property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,others,store room,pooja room,servant room,study room,furnishing_type,luxury_score
flat,dlf the primus,sector 82a,1.85,10176.0,1818.0,Super Built up area 1818(168.9 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,3,15.0,East,Moderately Old,1818.0,,1538.0,1,0,0,0,0,0,38
flat,raheja vedaanta,sector 108,0.65,4762.0,1365.0,Super Built up area 1365(126.81 sq.m.),2,2,2,5.0,East,Relatively New,1365.0,,,0,0,1,0,0,0,174
house,independent,sector 26,17.0,37604.0,4520.838,Plot area 502(419.74 sq.m.),5,5,3+,2.0,North-East,Relatively New,,4518.0,,0,1,1,1,1,0,124
flat,the lions cghs,sector 56,2.05,9535.0,2150.0,Super Built up area 2150(199.74 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),4,4,3,7.0,West,Relatively New,2150.0,2000.0,1950.0,1,0,0,1,0,0,49
flat,green court,sector 90,0.45,7188.0,626.0,Carpet area: 626 (58.16 sq.m.),2,2,1,2.0,not available,New Property,,,626.0,0,0,0,0,0,0,42
flat,dlf the primus,sector 82a,3.5,13431.0,2606.0,Carpet area: 2606 (242.11 sq.m.),5,5,3+,14.0,North-East,Relatively New,,,2606.0,0,0,0,0,1,2,49
flat,pareena coban residences,sector 99a,1.05,6774.0,1550.0,Super Built up area 1550(144 sq.m.)Built Up area: 1390 sq.ft. (129.14 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),2,2,3,2.0,East,Relatively New,1550.0,1390.0,1240.0,0,0,0,0,1,1,49
flat,mapsko mount ville,sector 79,1.5,8264.0,1815.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1071.33 sq.ft. (99.53 sq.m.),3,4,3+,11.0,South,Relatively New,1815.0,,1071.33,0,0,0,1,0,0,144
flat,pareena coban residences,sector 99a,1.38,6419.0,2150.0,Super Built up area 2352(218.51 sq.m.)Built Up area: 2150 sq.ft. (199.74 sq.m.)Carpet area: 1930 sq.ft. (179.3 sq.m.),4,5,3+,1.0,South-East,Relatively New,2352.0,2150.0,1930.0,1,0,0,1,0,1,49
flat,ss the leaf,sector 85,1.2,10453.0,1148.0,Super Built up area 1640(152.36 sq.m.)Carpet area: 1148 sq.ft. (106.65 sq.m.),2,2,3+,2.0,West,Relatively New,1640.0,,1148.0,0,1,0,0,0,1,156
flat,ats tourmaline,sector 109,2.95,9365.0,3150.0,Super Built up area 3150(292.64 sq.m.),4,5,3+,10.0,North-East,Relatively New,3150.0,,,0,0,0,1,0,1,101
house,independent,sector 57,3.15,20323.0,1550.0016,Plot area 172(143.81 sq.m.),5,4,3+,2.0,North-East,Moderately Old,,1548.0,,0,1,0,0,0,0,60
flat,smart world gems,sector 89,1.0,9033.0,1107.0,Carpet area: 1107 (102.84 sq.m.),2,2,2,1.0,not available,Under Construction,,,1107.0,0,0,0,0,1,0,38
flat,imperia the esfera,sector 37c,0.85,5387.0,1578.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1310 sq.ft. (121.7 sq.m.),2,3,3,9.0,South-East,Relatively New,1578.0,,1310.0,0,0,0,0,1,0,49
house,shri shyam residency,sector 104,0.62,6889.0,900.0,Plot area 500(46.45 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.),3,3,1,2.0,not available,Moderately Old,,900.0,480.0,1,0,0,0,0,2,8
